Grade,Total Number,Asian,Hispanic,Black,White,Mixed Race,Other,Unknown,,
Pre-K,"73,901",0.154,0.384,0.242,0.194,0.017,0.010,0.153,,
K,"77,180",0.166,0.422,0.206,0.178,0.016,0.012,0.166,,
1,"80,041",0.168,0.424,0.212,0.169,0.016,0.011,0.168,,
2,"79,276",0.173,0.421,0.217,0.164,0.015,0.010,0.173,,
3,"79,273",0.176,0.415,0.223,0.163,0.014,0.011,0.174,,
4,"76,518",0.172,0.416,0.230,0.163,0.009,0.010,0.172,,
5,"73,864",0.170,0.416,0.233,0.163,0.010,0.010,0.168,,
6,"70,351",0.177,0.405,0.234,0.163,0.009,0.012,0.177,,
7,"70,687",0.169,0.407,0.244,0.161,0.006,0.013,0.169,,
8,"71,779",0.165,0.407,0.260,0.154,0.005,0.009,0.165,,
9,"88,280",0.152,0.409,0.282,0.128,0.006,0.023,0.152,,
10,"91,164",0.163,0.404,0.284,0.125,0.006,0.019,0.162,,
11,"68,922",0.177,0.384,0.276,0.141,0.006,0.015,0.178,,
12,"76,320",0.166,0.383,0.300,0.134,0.004,0.014,0.165,,